,GT_PC,RC_PC,T_Positive,F_Positive
network1,0.6546491114822023,0.6145289330413074,9,0
network2,0.7012831871352607,0.6933522345873898,6,0
network3,0.7269822847273533,0.6787593003880557,15,0
network4,0.7463820287222389,0.7037094063816002,7,0
network5,0.7749882191438652,0.7627140376599505,14,0
network6,0.7962530001677139,0.7823419507337286,6,0
network7,0.8221836449389978,0.8050073974685157,9,2
network8,0.8367906746686015,0.8086955406911839,10,0
network9,0.8546219213112628,0.8156267298780702,11,3
network10,0.8752834990084002,0.837313747515467,11,7
network11,0.8806399167874804,0.8491444517483125,13,29
