Net,PC_Mean_GT, PC_Mean_RC,T_Possitive,F_Possitive 
Network1,0.6546491114822023,0.6026151720189281,17,0 
Network2,0.7012831871352607,0.675807561450506,12,0 
Network3,0.726982284727353,0.6885902032019905,18,0 
Network4,0.7463820287222387,0.7072933459037447,15,0 
Network5,0.774988219143865,0.766544758588586,14,0 
Network6,0.7962530001677139,0.7759964986715634,20,0 
Network7,0.8221836449389979,0.788092913879887,12,0 
Network8,0.8367906746686016,0.8200938591152895,18,0 
Network9,0.8546219213112627,0.8400953365402717,26,2 
Network10,0.8752834990084003,0.8543355676563699,24,6 
Network11,0.8806399167874805,0.8600671687593457,33,27 
Network1,0.6546491114822023,0.6077167982647901,18,0 
Network2,0.7012831871352606,0.6789139664461837,14,0 
Network3,0.7269822847273533,0.7062584077634768,21,0 
Network4,0.7463820287222389,0.7031264816797749,17,0 
Network5,0.774988219143865,0.7604287636132164,16,0 
Network6,0.796253000167714,0.7808167020102297,21,0 
Network7,0.8221836449389979,0.790372461168183,14,0 
Network8,0.8367906746686016,0.8200938591152895,18,0 
Network9,0.8546219213112627,0.8400953365402717,26,2 
Network10,0.8752834990084003,0.8543355676563699,24,6 
Network11,0.8806399167874805,0.8565191886583053,31,24 
Network1,0.6546491114822023,0.6077167982647901,18,0 
Network2,0.7012831871352606,0.6789139664461837,14,0 
Network3,0.7269822847273533,0.7062584077634768,21,0 
Network4,0.7463820287222389,0.7031264816797749,17,0 
Network5,0.774988219143865,0.7604287636132164,16,0 
Network6,0.796253000167714,0.7808167020102297,21,0 
Network7,0.8221836449389979,0.790372461168183,14,0 
Network8,0.8367906746686016,0.8200938591152895,18,0 
Network9,0.8546219213112627,0.8400953365402717,26,2 
Network10,0.8752834990084003,0.8543355676563699,24,6 
Network11,0.8806399167874805,0.8565191886583053,31,24 
