,GT_PC,RC_PC,T_Positive,F_Positive
network1,0.6546491114822023,0.6026151720189281,17,0
network2,0.7012831871352607,0.6758075614505061,12,0
network3,0.7269822847273533,0.6885902032019906,18,0
network4,0.7463820287222389,0.7072933459037447,15,0
network5,0.7749882191438652,0.766544758588586,14,0
network6,0.7962530001677139,0.7759964986715634,20,0
network7,0.8221836449389978,0.7880929138798869,12,0
network8,0.8367906746686015,0.8200938591152894,18,0
network9,0.8546219213112628,0.8400953365402716,26,2
network10,0.8752834990084002,0.8543355676563699,24,6
network11,0.8806399167874804,0.8600671687593459,33,27
