Network,Algorithm,Iterations,Sequence,NMI,Index_Higher
network7,RC,50,9.5,0.8020817628535747,0.0
network7,RC,100,9.5,0.8200596907803759,0.0
network7,async_lpa,10,9.5,0.870080934985056,0.0
network7,async_lpa,50,9.5,0.870080934985056,0.0
network7,async_lpa,100,9.5,0.8544401245337863,61.0
network7,greedy,10,9.5,0.11623935940488103,2.0
network7,greedy,50,9.5,0.11623935940488103,2.0
network7,greedy,100,9.5,0.11623935940488103,2.0
network7,infomap,10,9.5,0.8807184479773366,1.7
network7,infomap,50,9.5,0.8808306539655666,25.25
network7,infomap,100,9.5,0.880828250069016,71.85
network7,louvain,10,9.5,0.5901342257942817,4.5
network7,louvain,50,9.5,0.5816731324368603,23.25
network7,louvain,100,9.5,0.5826991961565049,57.25
network8,RC,10,9.5,0.815439773883301,0.0
network8,RC,50,9.5,0.814352953836246,0.0
network8,RC,100,9.5,0.8314437371424284,0.0
network8,async_lpa,10,9.5,0.8455487054801397,0.0
network8,async_lpa,50,9.5,0.8455487054801397,0.0
network8,async_lpa,100,9.5,0.8560302419194674,61.0
network8,greedy,10,9.5,0.11559943990346863,2.0
network8,greedy,50,9.5,0.11559943990346863,2.0
network8,greedy,100,9.5,0.11559943990346863,2.0
network8,infomap,10,9.5,0.8793172518269257,1.7
network8,infomap,50,9.5,0.8792299261136671,25.25
network8,infomap,100,9.5,0.8792546240904484,71.85
network8,louvain,10,9.5,0.5940203138082881,4.5
network8,louvain,50,9.5,0.6141918878715105,23.25
network8,louvain,100,9.5,0.5957948882774544,57.25
network9,RC,10,9.5,0.8203248570995235,0.0
network9,RC,50,9.5,0.8189605660698334,0.0
network9,RC,100,9.5,0.8375834080818597,0.0
network9,async_lpa,10,9.5,0.8328685814140281,0.0
network9,async_lpa,50,9.5,0.8328685814140281,0.0
network9,async_lpa,100,9.5,0.8374145700240616,61.0
network9,greedy,10,9.5,0.08780538848800731,2.0
network9,greedy,50,9.5,0.08780538848800731,2.0
network9,greedy,100,9.5,0.08780538848800731,2.0
network9,infomap,10,9.5,0.8767888423269025,1.7
network9,infomap,50,9.5,0.8765649716367022,25.25
network9,infomap,100,9.5,0.8764542162307452,71.85
network9,louvain,10,9.5,0.60943350878565,4.5
network9,louvain,50,9.5,0.5894069554650639,23.25
network9,louvain,100,9.5,0.5743320926404091,57.25
