Network,Algorithm,Iterations,Sequence,NMI,Index_Higher
network1,RC,10,9.5,0.8789768533291948,0.0
network1,RC,100,9.5,0.8789438594659339,0.0
network1,RC,1000,9.5,0.8788995926940029,0.0
network1,async_lpa,10,9.5,0.8682076517073207,3.0
network1,async_lpa,100,9.5,0.8672699241985609,24.0
network1,async_lpa,1000,9.5,0.8665922937839416,115.0
network1,greedy,10,9.5,0.8457856919447455,3.05
network1,greedy,100,9.5,0.8457773040374613,41.8
network1,greedy,1000,9.5,0.8457605818638319,91.15
network1,infomap,10,9.5,0.8704940698133703,5.65
network1,infomap,100,9.5,0.8694349111767016,18.35
network1,infomap,1000,9.5,0.8706480190013487,440.65
network1,louvain,10,9.5,0.8575676355062466,3.85
network1,louvain,100,9.5,0.8600666272227849,50.3
network1,louvain,1000,9.5,0.8582499263864791,579.7
network10,RC,10,9.5,0.8411810421678216,0.0
network10,RC,100,9.5,0.8393073791783963,0.0
network10,RC,1000,9.5,0.8517322140343826,0.0
network10,async_lpa,10,9.5,0.5257609061720706,3.0
network10,async_lpa,100,9.5,0.0,24.0
network10,async_lpa,1000,9.5,0.0,115.0
network10,greedy,10,9.5,0.5631729696217598,3.05
network10,greedy,100,9.5,0.5569344737103119,41.8
network10,greedy,1000,9.5,0.5631091919827791,91.15
network10,infomap,10,9.5,0.8229036624573386,5.65
network10,infomap,100,9.5,0.8107167337267104,18.35
network10,infomap,1000,9.5,0.8005025217167295,440.65
network10,louvain,10,9.5,0.8177023300624706,3.85
network10,louvain,100,9.5,0.8113144975242559,50.3
network10,louvain,1000,9.5,0.8139851378051428,579.7
network11,RC,10,9.5,0.7618032031125206,0.0
network11,RC,100,9.5,0.731011820507078,0.0
network11,RC,1000,9.5,0.7641806440417237,0.0
network11,async_lpa,10,9.5,0.0,3.0
network11,async_lpa,100,9.5,0.0,24.0
network11,async_lpa,1000,9.5,0.0,115.0
network11,greedy,10,9.5,0.42450494573362335,3.05
network11,greedy,100,9.5,0.41145068923619654,41.8
network11,greedy,1000,9.5,0.4248303759436262,91.15
network11,infomap,10,9.5,0.6665814429753277,5.65
network11,infomap,100,9.5,0.6622434827990198,18.35
network11,infomap,1000,9.5,0.6825896055592582,440.65
network11,louvain,10,9.5,0.7110504128307154,3.85
network11,louvain,100,9.5,0.7017582954477327,50.3
network11,louvain,1000,9.5,0.7028416025270747,579.7
network2,RC,10,9.5,0.8739134839989096,0.0
network2,RC,100,9.5,0.8684168241996526,0.0
network2,RC,1000,9.5,0.8704058008792979,0.0
network2,async_lpa,10,9.5,0.8664747353433256,3.0
network2,async_lpa,100,9.5,0.8652686093465031,24.0
network2,async_lpa,1000,9.5,0.8661981346974186,115.0
network2,greedy,10,9.5,0.8513493505011752,3.05
network2,greedy,100,9.5,0.8507460299442119,41.8
network2,greedy,1000,9.5,0.8510363647530748,91.15
network2,infomap,10,9.5,0.8691294889040193,5.65
network2,infomap,100,9.5,0.8692541029226094,18.35
network2,infomap,1000,9.5,0.8689017257264643,440.65
network2,louvain,10,9.5,0.8692980140605415,3.85
network2,louvain,100,9.5,0.86967977454954,50.3
network2,louvain,1000,9.5,0.8694892467848427,579.7
network3,RC,10,9.5,0.8773412639322548,0.0
network3,RC,100,9.5,0.8792505934260809,0.0
network3,RC,1000,9.5,0.8775660213995458,0.0
network3,async_lpa,10,9.5,0.8650471661143376,3.0
network3,async_lpa,100,9.5,0.8677358253815864,24.0
network3,async_lpa,1000,9.5,0.8689060325019924,115.0
network3,greedy,10,9.5,0.8438978857924431,3.05
network3,greedy,100,9.5,0.8436322913704632,41.8
network3,greedy,1000,9.5,0.8439106112207841,91.15
network3,infomap,10,9.5,0.8660757502493054,5.65
network3,infomap,100,9.5,0.8684884913264636,18.35
network3,infomap,1000,9.5,0.8683646948776987,440.65
network3,louvain,10,9.5,0.868852083557012,3.85
network3,louvain,100,9.5,0.8689325847028005,50.3
network3,louvain,1000,9.5,0.8690634142843457,579.7
network4,RC,10,9.5,0.8730573520293163,0.0
network4,RC,100,9.5,0.8691320762701638,0.0
network4,RC,1000,9.5,0.8699911002922974,0.0
network4,async_lpa,10,9.5,0.8689779405309561,3.0
network4,async_lpa,100,9.5,0.8465563226312705,24.0
network4,async_lpa,1000,9.5,0.8168471081875166,115.0
network4,greedy,10,9.5,0.8092822302204773,3.05
network4,greedy,100,9.5,0.8127650617982155,41.8
network4,greedy,1000,9.5,0.8135332609709911,91.15
network4,infomap,10,9.5,0.8703953895390647,5.65
network4,infomap,100,9.5,0.8434881887804252,18.35
network4,infomap,1000,9.5,0.8485646525956737,440.65
network4,louvain,10,9.5,0.8704886251411021,3.85
network4,louvain,100,9.5,0.8576959316748857,50.3
network4,louvain,1000,9.5,0.847861526983583,579.7
network5,RC,10,9.5,0.8782401656201815,0.0
network5,RC,100,9.5,0.8744564717167596,0.0
network5,RC,1000,9.5,0.8748037056273807,0.0
network5,async_lpa,10,9.5,0.8267488352633816,3.0
network5,async_lpa,100,9.5,0.8638923667727643,24.0
network5,async_lpa,1000,9.5,0.8347170207043615,115.0
network5,greedy,10,9.5,0.8222481242658966,3.05
network5,greedy,100,9.5,0.8206265638695935,41.8
network5,greedy,1000,9.5,0.8210455284110909,91.15
network5,infomap,10,9.5,0.8679020921064398,5.65
network5,infomap,100,9.5,0.8679100879357543,18.35
network5,infomap,1000,9.5,0.8675606689774147,440.65
network5,louvain,10,9.5,0.865580409605033,3.85
network5,louvain,100,9.5,0.8660971187824836,50.3
network5,louvain,1000,9.5,0.8642602759719826,579.7
network6,RC,10,9.5,0.8724668691178173,0.0
network6,RC,100,9.5,0.8685500807057608,0.0
network6,RC,1000,9.5,0.8664728979761616,0.0
network6,async_lpa,10,9.5,0.8392981589323224,3.0
network6,async_lpa,100,9.5,0.8402148016908744,24.0
network6,async_lpa,1000,9.5,0.8623494324011942,115.0
network6,greedy,10,9.5,0.8006373920518728,3.05
network6,greedy,100,9.5,0.8005930410340643,41.8
network6,greedy,1000,9.5,0.80061228156099,91.15
network6,infomap,10,9.5,0.8600177277432641,5.65
network6,infomap,100,9.5,0.8555033939434225,18.35
network6,infomap,1000,9.5,0.8613440313705016,440.65
network6,louvain,10,9.5,0.8595403317092337,3.85
network6,louvain,100,9.5,0.8578790959605668,50.3
network6,louvain,1000,9.5,0.860641943294732,579.7
network7,RC,10,9.5,0.8666455019680603,0.0
network7,RC,100,9.5,0.8686624870354857,0.0
network7,RC,1000,9.5,0.866326764257036,0.0
network7,async_lpa,10,9.5,0.8435750401012889,3.0
network7,async_lpa,100,9.5,0.8418754380614233,24.0
network7,async_lpa,1000,9.5,0.7681447656315135,115.0
network7,greedy,10,9.5,0.7849577145490463,3.05
network7,greedy,100,9.5,0.786258392869619,41.8
network7,greedy,1000,9.5,0.7858941165790962,91.15
network7,infomap,10,9.5,0.8591964897234762,5.65
network7,infomap,100,9.5,0.8595337709879507,18.35
network7,infomap,1000,9.5,0.8598930354656475,440.65
network7,louvain,10,9.5,0.8603818563202511,3.85
network7,louvain,100,9.5,0.85997812807513,50.3
network7,louvain,1000,9.5,0.8595334301313224,579.7
network8,RC,10,9.5,0.8658720100545795,0.0
network8,RC,100,9.5,0.8670072348642744,0.0
network8,RC,1000,9.5,0.8669405067024316,0.0
network8,async_lpa,10,9.5,0.7887000748489049,3.0
network8,async_lpa,100,9.5,0.7665470422985626,24.0
network8,async_lpa,1000,9.5,0.7767595971693597,115.0
network8,greedy,10,9.5,0.7852172776349926,3.05
network8,greedy,100,9.5,0.7881004821934957,41.8
network8,greedy,1000,9.5,0.7882552772785214,91.15
network8,infomap,10,9.5,0.8522826454161059,5.65
network8,infomap,100,9.5,0.8549851110804667,18.35
network8,infomap,1000,9.5,0.8546663698631921,440.65
network8,louvain,10,9.5,0.8562310535726618,3.85
network8,louvain,100,9.5,0.8573225216786777,50.3
network8,louvain,1000,9.5,0.8567918948363717,579.7
network9,RC,10,9.5,0.8539994531007681,0.0
network9,RC,100,9.5,0.8561180249688334,0.0
