Network,Algorithm,Iterations,mean,std
network4,async_lpa,10,0.8689779405309561,0.0
network4,async_lpa,100,0.8465563226312705,0.0
network4,async_lpa,1000,0.8168471081875166,0.0
network4,greedy,10,0.8092822302204773,0.0004525668084549903
network4,greedy,100,0.8127650617982155,0.00134470530768999
network4,greedy,1000,0.8135332609709911,0.0
network4,infomap,10,0.8703953895390647,0.00011987023207128861
network4,infomap,100,0.8434881887804252,0.0
network4,infomap,1000,0.8485646525956737,0.0
network4,louvain,10,0.8704886251411021,0.0005691277142212734
network4,louvain,100,0.8576959316748857,0.010798692257259514
network4,louvain,1000,0.847861526983583,0.0019144524869334721
network5,RC,10,0.8782401656201815,0.0012685999522474337
network5,RC,100,0.8744564717167596,0.0004753165252606287
network5,RC,1000,0.8748037056273807,0.0
network5,async_lpa,10,0.8267488352633816,0.0
network5,async_lpa,100,0.8638923667727643,0.0
network5,async_lpa,1000,0.8347170207043615,0.0
network5,greedy,10,0.8222481242658966,0.0023240198390973243
network5,greedy,100,0.8206265638695935,0.003050984209409998
network5,greedy,1000,0.8210455284110909,0.003715522197430069
network5,infomap,10,0.8679020921064398,0.0006611431047290991
network5,infomap,100,0.8679100879357543,0.0005130691609468712
network5,infomap,1000,0.8675606689774147,0.0004885411835573776
network5,louvain,10,0.865580409605033,0.0069213100616552685
network5,louvain,100,0.8660971187824836,0.005953943315123354
network5,louvain,1000,0.8642602759719826,0.008833032945183755
network6,RC,10,0.8724668691178173,0.001427266130465458
network6,RC,100,0.8685500807057608,0.0005187029674875522
network6,RC,1000,0.8664728979761616,0.0
network6,async_lpa,10,0.8392981589323224,0.0
network6,async_lpa,100,0.8402148016908744,0.0
network6,async_lpa,1000,0.8623494324011942,0.0
network6,greedy,10,0.8006373920518728,0.005200380299698199
network6,greedy,100,0.8005930410340643,0.005234586436548182
network6,greedy,1000,0.80061228156099,0.005191044375505988
network6,infomap,10,0.8600177277432641,0.005039919498955998
network6,infomap,100,0.8555033939434225,0.009641779013513312
network6,infomap,1000,0.8613440313705016,0.00030589693419085076
network6,louvain,10,0.8595403317092337,0.006269657715272173
network6,louvain,100,0.8578790959605668,0.007313193276327603
network6,louvain,1000,0.860641943294732,0.0063487386554771695
network7,RC,10,0.8666455019680603,0.0017895584088037234
network7,RC,100,0.8686624870354857,0.0011505791999801601
network7,RC,1000,0.866326764257036,0.0
network7,async_lpa,10,0.8435750401012889,0.0
network7,async_lpa,100,0.8418754380614233,0.0
network7,async_lpa,1000,0.7681447656315135,0.0
network7,greedy,10,0.7849577145490463,0.003867128817356621
network7,greedy,100,0.786258392869619,0.0038241209158032786
network7,greedy,1000,0.7858941165790962,0.003930310087933909
network7,infomap,10,0.8591964897234762,0.01031004501015402
network7,infomap,100,0.8595337709879507,0.0063658192307504136
network7,infomap,1000,0.8598930354656475,0.009962858695221812
network7,louvain,10,0.8603818563202511,0.005716512343149318
network7,louvain,100,0.85997812807513,0.0025770947366720717
network7,louvain,1000,0.8595334301313224,0.0030875345196293884
network8,RC,10,0.8658720100545795,0.001412892300962769
network8,RC,100,0.8670072348642744,0.001129074130392
network8,RC,1000,0.8669405067024316,0.0003486238813549638
network8,async_lpa,10,0.7887000748489049,0.0
network8,async_lpa,100,0.7665470422985626,0.0
network8,async_lpa,1000,0.7767595971693597,0.0
network8,greedy,10,0.7852172776349926,0.0076229815737509365
network8,greedy,100,0.7881004821934957,0.0061558421785882006
network8,greedy,1000,0.7882552772785214,0.006233567207483621
network8,infomap,10,0.8522826454161059,0.0073111447121328044
network8,infomap,100,0.8549851110804667,0.0028471068498462583
network8,infomap,1000,0.8546663698631921,0.0010930793869202685
network8,louvain,10,0.8562310535726618,0.0027102131890811803
network8,louvain,100,0.8573225216786777,0.0026031606408840426
network8,louvain,1000,0.8567918948363717,0.00311707433837506
network9,RC,10,0.8539994531007681,0.0018874614003020255
network9,RC,100,0.8561180249688334,0.0010020680506016239
network9,RC,1000,0.8591623510624208,0.0004996109437836172
network9,async_lpa,10,0.6977624489927712,0.0
network9,async_lpa,100,0.0,0.0
network9,async_lpa,1000,0.6677462782951519,0.0
network9,greedy,10,0.71678966684622,0.009729166771381496
network9,greedy,100,0.7188703768833838,0.008749809625909563
network9,greedy,1000,0.7212796898341146,0.007452150664765769
network9,infomap,10,0.829558632117892,0.01591361358160468
network9,infomap,100,0.8407201856572749,0.013926516752348402
network9,infomap,1000,0.825443778476175,0.01434296933770581
network9,louvain,10,0.8478220813561717,0.003142829272311519
network9,louvain,100,0.8432278576255039,0.009915521218529089
network9,louvain,1000,0.8395508813439847,0.015461526317298361
