Network,Algorithm,Iterations,mean,std
network1,RC,10,0.8789768533291948,0.0007888105315753583
network1,RC,100,0.8789438594659339,0.0
network1,RC,1000,0.8788995926940029,0.0
network1,async_lpa,10,0.8682076517073207,0.0
network1,async_lpa,100,0.8672699241985609,0.0
network1,async_lpa,1000,0.8665922937839416,0.0
network1,greedy,10,0.8457856919447455,0.0005682335361527332
network1,greedy,100,0.8457773040374613,0.0005639034501764282
network1,greedy,1000,0.8457605818638319,0.0005542796653692753
network1,infomap,10,0.8704940698133703,0.0004754998391206412
network1,infomap,100,0.8694349111767016,0.006531302700910232
network1,infomap,1000,0.8706480190013487,0.00029150597564120195
network1,louvain,10,0.8575676355062466,0.007937932117928162
network1,louvain,100,0.8600666272227849,0.009005907753093926
network1,louvain,1000,0.8582499263864791,0.008350143985102367
network10,RC,10,0.8411810421678216,0.015378997286984416
network10,RC,100,0.8393073791783963,0.0039003032681699055
network10,RC,1000,0.8517322140343826,0.000730200907224519
network10,async_lpa,10,0.5257609061720706,0.0
network10,async_lpa,100,0.0,0.0
network10,async_lpa,1000,0.0,0.0
network10,greedy,10,0.5631729696217598,0.031027831859684385
network10,greedy,100,0.5569344737103119,0.03009255555634382
network10,greedy,1000,0.5631091919827791,0.027923531708062978
network10,infomap,10,0.8229036624573386,0.02042954427881579
network10,infomap,100,0.8107167337267104,0.025476332950582735
network10,infomap,1000,0.8005025217167295,0.02660866320033257
network10,louvain,10,0.8177023300624706,0.017410266248935085
network10,louvain,100,0.8113144975242559,0.025581436264281884
network10,louvain,1000,0.8139851378051428,0.012015080437713795
network11,RC,10,0.7618032031125206,0.009300212522962599
network11,RC,100,0.731011820507078,0.005937368244187252
network11,RC,1000,0.7641806440417237,0.0019429817434600152
network11,async_lpa,10,0.0,0.0
network11,async_lpa,100,0.0,0.0
network11,async_lpa,1000,0.0,0.0
network11,greedy,10,0.42450494573362335,0.053083501475196804
network11,greedy,100,0.41145068923619654,0.047785090311397514
network11,greedy,1000,0.4248303759436262,0.037579540209983615
network11,infomap,10,0.6665814429753277,0.037510599393742385
network11,infomap,100,0.6622434827990198,0.05840873695119736
network11,infomap,1000,0.6825896055592582,0.07033319691312329
network11,louvain,10,0.7110504128307154,0.026207869348765976
network11,louvain,100,0.7017582954477327,0.02805227820251543
network11,louvain,1000,0.7028416025270747,0.032499654293138135
network2,RC,10,0.8739134839989096,0.0005772846394232478
network2,RC,100,0.8684168241996526,0.0004117492165206078
network2,RC,1000,0.8704058008792979,0.00022439602980790338
network2,async_lpa,10,0.8664747353433256,0.0
network2,async_lpa,100,0.8652686093465031,0.0
network2,async_lpa,1000,0.8661981346974186,0.0
network2,greedy,10,0.8513493505011752,0.0019015328490722136
network2,greedy,100,0.8507460299442119,0.002149410152035789
network2,greedy,1000,0.8510363647530748,0.0019106637043135963
network2,infomap,10,0.8691294889040193,0.00019956398262691247
network2,infomap,100,0.8692541029226094,0.0004299859415074495
network2,infomap,1000,0.8689017257264643,0.00032810565431088903
network2,louvain,10,0.8692980140605415,0.00033983654429093637
network2,louvain,100,0.86967977454954,0.00026659141421589997
network2,louvain,1000,0.8694892467848427,0.000267534027368551
network3,RC,10,0.8773412639322548,0.0006840601076092303
network3,RC,100,0.8792505934260809,0.0004669933832924527
network3,RC,1000,0.8775660213995458,0.0
network3,async_lpa,10,0.8650471661143376,0.0
network3,async_lpa,100,0.8677358253815864,0.0
network3,async_lpa,1000,0.8689060325019924,0.0
network3,greedy,10,0.8438978857924431,0.0023260709963995457
network3,greedy,100,0.8436322913704632,0.002206719843195015
network3,greedy,1000,0.8439106112207841,0.002331878422308399
network3,infomap,10,0.8660757502493054,0.00783241279402436
network3,infomap,100,0.8684884913264636,0.0003149363062920404
network3,infomap,1000,0.8683646948776987,0.0002442928538230513
network3,louvain,10,0.868852083557012,0.0002852938996259957
network3,louvain,100,0.8689325847028005,0.0004191835724369725
network3,louvain,1000,0.8690634142843457,0.0005420162033084629
network4,RC,10,0.8730573520293163,0.0015232474169072513
network4,RC,100,0.8691320762701638,0.0
network4,RC,1000,0.8699911002922974,0.0
