Network,Algorithm,Sequence,NMI,Index_Higher,Iterations
network1,RC,0,0.8787724688710438,0,10
network1,louvain,0,0.8530979123342363,4,10
network1,infomap,0,0.8704730491718814,5,10
network1,greedy,0,0.8460171686979535,1,10
network1,async_lpa,0,0.8682076517073207,3,10
network1,RC,1,0.8787724688710438,0,10
network1,louvain,1,0.8713343663484922,3,10
network1,infomap,1,0.8711996517220856,7,10
network1,greedy,1,0.8461010477707952,1,10
network1,async_lpa,1,0.8682076517073207,3,10
network1,RC,2,0.8809230929705889,0,10
network1,louvain,2,0.853154490624399,2,10
network1,infomap,2,0.8704339484251545,6,10
network1,greedy,2,0.8446819442091671,5,10
network1,async_lpa,2,0.8682076517073207,3,10
network1,RC,3,0.8777114836470037,0,10
network1,louvain,3,0.8530979123342363,4,10
network1,infomap,3,0.8704730491718814,3,10
network1,greedy,3,0.8446819442091671,1,10
network1,async_lpa,3,0.8682076517073207,3,10
network1,RC,4,0.8797319958234563,0,10
network1,louvain,4,0.8530979123342363,4,10
network1,infomap,4,0.8699559603231708,0,10
network1,greedy,4,0.8461010477707952,4,10
network1,async_lpa,4,0.8682076517073207,3,10
network1,RC,5,0.8797319958234563,0,10
network1,louvain,5,0.8530979123342363,3,10
network1,infomap,5,0.8711996517220856,2,10
network1,greedy,5,0.8460171686979535,4,10
network1,async_lpa,5,0.8682076517073207,3,10
network1,RC,6,0.8789336618578105,0,10
network1,louvain,6,0.8707201214443707,4,10
network1,infomap,6,0.8699425959955788,8,10
network1,greedy,6,0.8446819442091671,0,10
network1,async_lpa,6,0.8682076517073207,3,10
network1,RC,7,0.8777114836470037,0,10
network1,louvain,7,0.8530979123342363,4,10
network1,infomap,7,0.870484831365397,7,10
network1,greedy,7,0.8461424508978267,4,10
network1,async_lpa,7,0.8682076517073207,3,10
network1,RC,8,0.8797319958234563,0,10
network1,louvain,8,0.8530979123342363,5,10
network1,infomap,8,0.8702118233787315,9,10
network1,greedy,8,0.8461424508978267,4,10
network1,async_lpa,8,0.8682076517073207,3,10
network1,RC,9,0.8787724688710438,0,10
network1,louvain,9,0.8530979123342363,4,10
network1,infomap,9,0.8699559603231708,2,10
network1,greedy,9,0.8460171686979535,6,10
network1,async_lpa,9,0.8682076517073207,3,10
network1,RC,10,0.8789336618578105,0,10
network1,louvain,10,0.8530979123342363,3,10
network1,infomap,10,0.870484831365397,4,10
network1,greedy,10,0.8460171686979535,6,10
network1,async_lpa,10,0.8682076517073207,3,10
network1,RC,11,0.8797319958234563,0,10
network1,louvain,11,0.8530979123342363,3,10
network1,infomap,11,0.8713151714020643,8,10
network1,greedy,11,0.8460171686979535,7,10
network1,async_lpa,11,0.8682076517073207,3,10
network1,RC,12,0.8787724688710438,0,10
network1,louvain,12,0.8530979123342363,3,10
network1,infomap,12,0.8711996517220856,7,10
network1,greedy,12,0.8460171686979535,0,10
network1,async_lpa,12,0.8682076517073207,3,10
network1,RC,13,0.8787724688710438,0,10
network1,louvain,13,0.8530979123342363,4,10
network1,infomap,13,0.8699559603231708,6,10
network1,greedy,13,0.8446819442091671,1,10
network1,async_lpa,13,0.8682076517073207,3,10
network1,RC,14,0.8787724688710438,0,10
network1,louvain,14,0.8530396838352028,9,10
network1,infomap,14,0.8705362876833121,7,10
network1,greedy,14,0.8461010477707952,0,10
network1,async_lpa,14,0.8682076517073207,3,10
network1,RC,15,0.8787724688710438,0,10
network1,louvain,15,0.8530979123342363,4,10
network1,infomap,15,0.8704730491718814,7,10
network1,greedy,15,0.8460171686979535,2,10
network1,async_lpa,15,0.8682076517073207,3,10
network1,RC,16,0.8787724688710438,0,10
network1,louvain,16,0.8707201214443707,4,10
network1,infomap,16,0.8699972808240882,8,10
network1,greedy,16,0.8461424508978267,5,10
network1,async_lpa,16,0.8682076517073207,3,10
network1,RC,17,0.8797319958234563,0,10
network1,louvain,17,0.853154490624399,2,10
network1,infomap,17,0.870484831365397,4,10
network1,greedy,17,0.8460171686979535,5,10
network1,async_lpa,17,0.8682076517073207,3,10
network1,RC,18,0.8787724688710438,0,10
network1,louvain,18,0.8713343663484922,3,10
network1,infomap,18,0.871106529986783,9,10
network1,greedy,18,0.8461010477707952,2,10
network1,async_lpa,18,0.8682076517073207,3,10
network1,RC,19,0.8777114836470037,0,10
network1,louvain,19,0.8707201214443707,5,10
network1,infomap,19,0.8699972808240882,4,10
network1,greedy,19,0.8460171686979535,3,10
network1,async_lpa,19,0.8682076517073207,3,10
network1,RC,0,0.8789438594659339,0,100
network1,louvain,0,0.8705189012877247,69,100
network1,infomap,0,0.8704922850826619,22,100
network1,greedy,0,0.8446819442091671,37,100
network1,async_lpa,0,0.8672699241985609,24,100
network1,RC,1,0.8789438594659339,0,100
network1,louvain,1,0.8529512575299163,39,100
network1,infomap,1,0.8711608980750241,24,100
network1,greedy,1,0.8446819442091671,37,100
network1,async_lpa,1,0.8672699241985609,24,100
network1,RC,2,0.8789438594659339,0,100
network1,louvain,2,0.8707201214443707,20,100
network1,infomap,2,0.8706759676219843,19,100
network1,greedy,2,0.8460171686979535,23,100
network1,async_lpa,2,0.8672699241985609,24,100
network1,RC,3,0.8789438594659339,0,100
network1,louvain,3,0.8528966921775905,28,100
network1,infomap,3,0.8711608980750241,20,100
network1,greedy,3,0.8461010477707952,25,100
network1,async_lpa,3,0.8672699241985609,24,100
network1,RC,4,0.8789438594659339,0,100
network1,louvain,4,0.8527824148786671,79,100
network1,infomap,4,0.871106529986783,18,100
network1,greedy,4,0.8460171686979535,48,100
network1,async_lpa,4,0.8672699241985609,24,100
network1,RC,5,0.8789438594659339,0,100
network1,louvain,5,0.8704894563241514,27,100
network1,infomap,5,0.8700540726551319,19,100
network1,greedy,5,0.8460171686979535,59,100
network1,async_lpa,5,0.8672699241985609,24,100
network1,RC,6,0.8789438594659339,0,100
network1,louvain,6,0.8530979123342363,84,100
network1,infomap,6,0.8711996517220856,18,100
network1,greedy,6,0.8460171686979535,99,100
network1,async_lpa,6,0.8672699241985609,24,100
network1,RC,7,0.8789438594659339,0,100
network1,louvain,7,0.8528966921775905,69,100
network1,infomap,7,0.8705854086504952,23,100
network1,greedy,7,0.8461424508978267,4,100
network1,async_lpa,7,0.8672699241985609,24,100
network1,RC,8,0.8789438594659339,0,100
network1,louvain,8,0.8527524670778767,29,100
network1,infomap,8,0.8711996517220856,16,100
network1,greedy,8,0.8460171686979535,36,100
network1,async_lpa,8,0.8672699241985609,24,100
network1,RC,9,0.8789438594659339,0,100
network1,louvain,9,0.8704894563241514,28,100
network1,infomap,9,0.8711496516009039,14,100
network1,greedy,9,0.8460171686979535,57,100
network1,async_lpa,9,0.8672699241985609,24,100
network1,RC,10,0.8789438594659339,0,100
network1,louvain,10,0.8709889210921324,41,100
network1,infomap,10,0.8711996517220856,15,100
network1,greedy,10,0.8461010477707952,59,100
network1,async_lpa,10,0.8672699241985609,24,100
network1,RC,11,0.8789438594659339,0,100
network1,louvain,11,0.8711037012282726,69,100
network1,infomap,11,0.871106529986783,18,100
network1,greedy,11,0.8460171686979535,30,100
network1,async_lpa,11,0.8672699241985609,24,100
network1,RC,12,0.8789438594659339,0,100
network1,louvain,12,0.8528966921775905,69,100
network1,infomap,12,0.8705322244649449,17,100
network1,greedy,12,0.8461424508978267,33,100
network1,async_lpa,12,0.8672699241985609,24,100
network1,RC,13,0.8789438594659339,0,100
network1,louvain,13,0.8711037012282726,27,100
network1,infomap,13,0.870484831365397,17,100
network1,greedy,13,0.8461424508978267,13,100
network1,async_lpa,13,0.8672699241985609,24,100
network1,RC,14,0.8789438594659339,0,100
network1,louvain,14,0.8530979123342363,23,100
network1,infomap,14,0.8711996517220856,14,100
network1,greedy,14,0.8460171686979535,61,100
network1,async_lpa,14,0.8672699241985609,24,100
network1,RC,15,0.8789438594659339,0,100
network1,louvain,15,0.8527524670778767,29,100
network1,infomap,15,0.8417372912591696,20,100
network1,greedy,15,0.8460171686979535,73,100
network1,async_lpa,15,0.8672699241985609,24,100
network1,RC,16,0.8789438594659339,0,100
network1,louvain,16,0.8528966921775905,69,100
network1,infomap,16,0.8711996517220856,18,100
network1,greedy,16,0.8446819442091671,63,100
network1,async_lpa,16,0.8672699241985609,24,100
network1,RC,17,0.8789438594659339,0,100
network1,louvain,17,0.8528966921775905,69,100
network1,infomap,17,0.8700540726551319,23,100
network1,greedy,17,0.8460171686979535,35,100
network1,async_lpa,17,0.8672699241985609,24,100
network1,RC,18,0.8789438594659339,0,100
network1,louvain,18,0.8711037012282726,69,100
network1,infomap,18,0.8711996517220856,15,100
network1,greedy,18,0.8446819442091671,13,100
network1,async_lpa,18,0.8672699241985609,24,100
network1,RC,19,0.8789438594659339,0,100
network1,louvain,19,0.8528966921775905,69,100
network1,infomap,19,0.8711996517220856,17,100
network1,greedy,19,0.8460171686979535,31,100
network1,async_lpa,19,0.8672699241985609,24,100
network1,RC,0,0.8788995926940029,0,1000
network1,louvain,0,0.8702015696033966,513,1000
network1,infomap,0,0.8705331054514746,425,1000
network1,greedy,0,0.8446819442091671,37,1000
network1,async_lpa,0,0.8665922937839418,115,1000
network1,RC,1,0.8788995926940029,0,1000
network1,louvain,1,0.8527524670778767,513,1000
network1,infomap,1,0.8705331054514746,425,1000
network1,greedy,1,0.8446819442091671,37,1000
network1,async_lpa,1,0.8665922937839418,115,1000
network1,RC,2,0.8788995926940029,0,1000
network1,louvain,2,0.8711037012282726,962,1000
network1,infomap,2,0.8705331054514746,425,1000
network1,greedy,2,0.8460171686979535,23,1000
network1,async_lpa,2,0.8665922937839418,115,1000
network1,RC,3,0.8788995926940029,0,1000
network1,louvain,3,0.8530979123342363,633,1000
network1,infomap,3,0.8705331054514746,426,1000
network1,greedy,3,0.8461010477707952,25,1000
network1,async_lpa,3,0.8665922937839418,115,1000
network1,RC,4,0.8788995926940029,0,1000
network1,louvain,4,0.8535126194988514,823,1000
network1,infomap,4,0.8705331054514746,425,1000
network1,greedy,4,0.8460171686979535,48,1000
network1,async_lpa,4,0.8665922937839418,115,1000
network1,RC,5,0.8788995926940029,0,1000
network1,louvain,5,0.8527524670778767,513,1000
network1,infomap,5,0.8704914040961319,426,1000
network1,greedy,5,0.8460171686979535,59,1000
