,GT_PC,RC_PC,T_Positive,F_Positive
network1,0.6604814838780072,0.7404359827822417,640,817
network2,0.6967573532532849,0.7900362023132869,681,1058
network3,0.7291399997097007,0.8114938335537906,605,1057
network4,0.7540192105432966,0.8268903238923448,393,738
network5,0.7782510857309304,0.8581522623290695,531,1072
network6,0.799595809210147,0.8767193600233525,568,1060
network7,0.8237453259925751,0.881827940204333,604,984
network8,0.8435235219221414,0.888309662175516,623,854
network9,0.8605794773757215,0.9108869937718619,629,854
network10,0.8757609075433721,0.9083279697788346,631,649
network11,0.8880157542357597,0.9023176291808611,716,365
