,GT_PC,RC_PC,T_Positive,F_Positive
network1,0.6604814838780072,0.651202053914672,383,69
network2,0.6967573532532849,0.6886842079969162,410,108
network3,0.7291399997097007,0.7441061435306431,352,214
network4,0.7540192105432966,0.7626647197478886,246,150
network5,0.7782510857309304,0.7889305827642308,313,179
network6,0.799595809210147,0.8037234053840484,368,181
network7,0.8237453259925751,0.8398504803695104,365,335
network8,0.8435235219221414,0.8340444238764692,396,73
network9,0.8605794773757215,0.8556826808908335,406,239
network10,0.8757609075433721,0.8756803607536688,400,251
network11,0.8880157542357597,0.8758129203334004,472,159
