Net,PC_Mean_GT, PC_Mean_RC,T_Possitive,F_Possitive 
Network1,0.6546491114822023,0.6112757629996225,22,0 
Network2,0.7012831871352604,0.6758367654685332,20,0 
Network3,0.7269822847273533,0.6996216378928652,20,0 
Network4,0.7463820287222387,0.7115438311172037,19,0 
Network5,0.7749882191438651,0.7794941910263096,17,0 
Network6,0.796253000167714,0.7794859743302123,24,0 
Network7,0.8221836449389979,0.7986922431578796,17,0 
Network8,0.8367906746686015,0.8124191922571546,23,2 
Network9,0.8546219213112627,0.8487186504815791,32,5 
Network10,0.8752834990084003,0.8554087210513603,31,9 
Network11,0.8806399167874804,0.8703787396666282,39,40 
Network1,0.6546491114822023,0.6148917926276584,23,0 
Network2,0.7012831871352607,0.6742764317212114,23,0 
Network3,0.7269822847273534,0.7119781791140266,22,0 
Network4,0.7463820287222389,0.7077658472012794,21,0 
Network5,0.7749882191438651,0.7728841209330227,19,0 
Network6,0.796253000167714,0.7794859743302123,24,0 
Network7,0.8221836449389979,0.7992561907094671,19,0 
Network8,0.8367906746686016,0.811561663969961,24,2 
Network9,0.8546219213112627,0.8487186504815791,32,5 
Network10,0.8752834990084003,0.8554087210513603,31,9 
Network11,0.8806399167874804,0.8645570595981522,37,34 
Network1,0.6546491114822023,0.6148917926276584,23,0 
Network2,0.7012831871352607,0.6742764317212114,23,0 
Network3,0.7269822847273534,0.7119781791140266,22,0 
Network4,0.7463820287222389,0.7077658472012794,21,0 
Network5,0.7749882191438651,0.7728841209330227,19,0 
Network6,0.796253000167714,0.7794859743302123,24,0 
Network7,0.8221836449389979,0.7992561907094671,19,0 
Network8,0.8367906746686016,0.811561663969961,24,2 
Network9,0.8546219213112627,0.8487186504815791,32,5 
Network10,0.8752834990084003,0.8554087210513603,31,9 
Network11,0.8806399167874804,0.8645570595981522,37,34 
