Net,PC_Mean_GT, PC_Mean_RC,T_Possitive,F_Possitive 
Network1,0.6546491114822024,0.61745431074177,25,0 
Network2,0.7012831871352608,0.7031326766758463,32,0 
Network3,0.7269822847273533,0.7141735940542986,26,0 
Network4,0.7463820287222389,0.7208221353780594,22,0 
Network5,0.7749882191438651,0.7816913358387055,20,0 
Network6,0.7962530001677142,0.7819362177842706,28,0 
Network7,0.8221836449389979,0.7986112348450478,20,0 
Network8,0.8367906746686016,0.8242111934624134,30,2 
Network9,0.8546219213112629,0.8420954350524938,37,9 
Network10,0.8752834990084004,0.8673982685885427,37,11 
Network11,0.8806399167874805,0.8869435523376111,46,53 
Network1,0.6546491114822024,0.6228456459807769,26,0 
Network2,0.7012831871352607,0.7012387376743934,34,0 
Network3,0.7269822847273533,0.7229806078124607,28,0 
Network4,0.7463820287222387,0.7167432074298876,24,0 
Network5,0.7749882191438651,0.7757828985024673,22,0 
Network6,0.7962530001677142,0.7795120187677904,28,0 
Network7,0.8221836449389979,0.799105644849858,22,0 
Network8,0.8367906746686015,0.8231782317450713,31,2 
Network9,0.8546219213112629,0.8420954350524938,37,9 
Network10,0.8752834990084004,0.8673982685885427,37,11 
Network11,0.8806399167874804,0.8851886677203461,44,45 
Network1,0.6546491114822024,0.6228456459807769,26,0 
Network2,0.7012831871352607,0.7012387376743934,34,0 
Network3,0.7269822847273533,0.7229806078124607,28,0 
Network4,0.7463820287222387,0.7167432074298876,24,0 
Network5,0.7749882191438651,0.7757828985024673,22,0 
Network6,0.7962530001677142,0.7795120187677904,28,0 
Network7,0.8221836449389979,0.799105644849858,22,0 
Network8,0.8367906746686015,0.8231782317450713,31,2 
Network9,0.8546219213112629,0.8420954350524938,37,9 
Network10,0.8752834990084004,0.8673982685885427,37,11 
Network11,0.8806399167874804,0.8851886677203461,44,45 
