,GT_PC,RC_PC,T_Positive,F_Positive
network1,0.6546491114822023,0.6174543107417699,25,0
network2,0.7012831871352607,0.7031326766758463,32,0
network3,0.7269822847273533,0.7141735940542988,26,0
network4,0.7463820287222389,0.7208221353780593,22,0
network5,0.7749882191438652,0.7816913358387055,20,0
network6,0.7962530001677139,0.7819362177842707,28,0
network7,0.8221836449389978,0.7986112348450479,20,0
network8,0.8367906746686015,0.8242111934624136,30,2
network9,0.8546219213112628,0.8420954350524938,37,9
network10,0.8752834990084002,0.8673982685885427,37,11
network11,0.8806399167874804,0.8869435523376111,46,53
