Unnamed: 0,gp,gwdw,gwdnw,gndw,gndnw,lpap,lpadw,lpadnw,lpandw,lpandnw,infomap_p,infomap_dw,infomap_dnw,infomap_ndw,infomap_ndnw,lp,ldw,ldnw,lndw,lndnw
count,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0
mean,0.778090130742174,1.1424664628842934e-17,1.71369969432644e-17,1.6779976173613058e-17,1.1067643859191593e-17,0.7787112614297269,1.2376720014579844e-17,-4.76027692868456e-19,1.5232886171790577e-17,5.394980519175828e-18,0.8210484175658564,9.710964934516493e-18,1.1995897860285078e-17,8.425690163771664e-18,1.0210794012028372e-17,0.8288656555259035,1.428083078605367e-18,6.2835655458636136e-18,4.569865851537173e-18,-1.249572693779696e-18
std,0.18594122559985607,0.99979898487158,0.9997989848715808,0.9997989848715811,0.9997989848715817,0.1830794868221435,1.0000251240500009,1.0000251240500002,1.0000251240500013,1.0000251240500004,0.1607745118913763,0.9999447244386737,0.9998442163695722,0.999713539737052,0.9997135397370522,0.1496563803831204,1.000025124050001,1.0000251240500009,1.000025124050001,1.000025124050001
min,0.0184327846364884,-1.3843919734692458,-2.138969230030303,-1.0690449676496978,-2.1815246471525467,0.011267515720258999,-2.035570828537573,-3.5578972260764954,-1.962792840808573,-3.41327800632073,0.0672942869135094,-1.6924964788020165,-2.6499864784020652,-1.6329000326683727,-2.8783455755052785,0.08794481477259362,-1.6518690269181118,-2.5574183810347386,-1.9986199502819797,-2.996376050360412
25%,0.6854264185781799,-0.5927380284912444,-0.6570762623005875,-0.5187596846857199,-0.5938568187976604,0.6834146689829864,-0.5032553930263481,-0.66340029644643,-0.41720084181127726,-0.6071221663763211,0.7460195857192945,-0.565863578923474,-0.6738689743442536,-0.5181097407717934,-0.6341935903297891,0.7653000928870766,-0.5857422520685637,-0.6883081699911251,-0.5465768810854909,-0.6375511257041875
50%,0.822325575451223,-0.2871609426929202,-0.26814506662916987,-0.263869342764218,-0.2418118235436126,0.8243536729760998,-0.3230545034298707,-0.31775318381352435,-0.2745311069351366,-0.2671099478519026,0.8653352920068871,-0.2966041240115239,-0.25661297312956055,-0.2701331716434587,-0.26021278881242604,0.8662813927663009,-0.28847302888680665,-0.2536106331306057,-0.26334619763796424,-0.24956448250271976
75%,0.9219762738843327,0.18301890291768208,0.4231900299141901,0.1195809946928092,0.38257206567983676,0.9198163307578437,0.04728449464123301,0.3874699878930263,-0.008088533330899967,0.27114197582656047,0.9423295670335369,0.2314196706124322,0.4828300334098605,0.18923587221067859,0.4574875325425767,0.9411154919903091,0.23665324513777644,0.4963513768849671,0.19217201656046792,0.44604708337794097
max,0.9999949952204357,13.535123971267735,12.106820088868302,16.112519009558337,12.972457416359871,0.9999949952204356,12.26583688578244,9.230516052035439,13.413871909790396,9.02626627613538,0.9999949952204356,14.515281503998406,10.818006380961322,16.822432350355502,12.21785286583619,0.9999949952204356,15.153017042085258,11.520040390089068,16.087003615607955,11.63783672630605
